diagnosis_type	diagnosis_code	diagnosis_description	mapped_icd9	mapped_icd10	map_flag
ICD10-CM	G70.01	Myasthenia gravis with (acute) exacerbation	35801	G7001	00000
ICD10-CM	S14.102A	Unspecified injury at C2 level of cervical spinal cord, initial encounter	95200	S14102A	10000
ICD10-CM	S30.92XD	Unspecified superficial injury of abdominal wall, subsequent encounter	V5889	S3092XD	10000
ICD10-CM	T84.191A	Other mechanical complication of internal fixation device of left humerus, initial encounter	99649	T84191A	10000
ICD10-CM	S62.343D	Nondisplaced fracture of base of third metacarpal bone, left hand, subsequent encounter for fracture with routine healing	V5412	S62343D	10000
ICD10-CM	M81.8	Other osteoporosis without current pathological fracture	73302	M818	10000
ICD10-CM	S21.232A	Puncture wound without foreign body of left back wall of thorax without penetration into thoracic cavity, initial encounter	8760	S21232A	10000
ICD10-CM	S82.66XJ	Nondisplaced fracture of lateral malleolus of unspecified fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing	V5416	S8266XJ	10000
ICD10-CM	O99.211	Obesity complicating pregnancy, first trimester	64911	O99211	10000
ICD10-CM	S86.091D	Other specified injury of right Achilles tendon, subsequent encounter	V5889	S86091D	10000
ICD10-CM	T63.061A	Toxic effect of venom of other North and South American snake, accidental (unintentional), initial encounter	9895	T63061A	10111
ICD10-CM	V13.9XXA	Unspecified pedal cyclist injured in collision with car, pick-up truck or van in traffic accident, initial encounter	E8136	V139XXA	10000
ICD10-CM	Y93.02	Activity, running	E0011	Y9302	00000
ICD10-CM	S93.144A	Subluxation of metatarsophalangeal joint of right lesser toe(s), initial encounter	83805	S93144A	10000
ICD10-CM	M25.522	Pain in left elbow	71942	M25522	10000
ICD10-CM	R06.00	Dyspnea, unspecified	78609	R0600	10000
ICD10-CM	I52	Other heart disorders in diseases classified elsewhere	4299	I52	10000
ICD10-CM	E06.4	Drug-induced thyroiditis	2454	E064	10000
ICD10-CM	M91.80	Other juvenile osteochondrosis of hip and pelvis, unspecified leg	7321	M9180	10000
ICD10-CM	S62.209A	Unspecified fracture of first metacarpal bone, unspecified hand, initial encounter for closed fracture	81501	S62209A	10000
ICD10-CM	S22.20XA	Unspecified fracture of sternum, initial encounter for closed fracture	8072	S2220XA	10000
ICD10-CM	M84.661A	Pathological fracture in other disease, right tibia, initial encounter for fracture	73316	M84661A	10000
ICD10-CM	T21.52XS	Corrosion of first degree of abdominal wall, sequela	9068	T2152XS	10000
ICD10-CM	O31.21X0	Continuing pregnancy after intrauterine death of one fetus or more, first trimester, not applicable or unspecified	65163	O3121X0	10000
ICD10-CM	T26.11XA	Burn of cornea and conjunctival sac, right eye, initial encounter	9404	T2611XA	10000
ICD10-CM	J84.01	Alveolar proteinosis	5160	J8401	00000
ICD10-CM	T22.259A	Burn of second degree of unspecified shoulder, initial encounter	94325	T22259A	10000
ICD10-CM	T85.72XA	Infection and inflammatory reaction due to insulin pump, initial encounter	99669	T8572XA	10000
ICD10-CM	D05.10	Intraductal carcinoma in situ of unspecified breast	2330	D0510	10000
ICD10-CM	Q62.62	Displacement of ureter	7534	Q6262	10000
ICD10-CM	C78.30	Secondary malignant neoplasm of unspecified respiratory organ	1973	C7830	10000
ICD10-CM	H05.241	Constant exophthalmos, right eye	37631	H05241	10000
ICD10-CM	H91.8X9	Other specified hearing loss, unspecified ear	38811	H918X9	10000
ICD10-CM	D23.71	Other benign neoplasm of skin of right lower limb, including hip	2167	D2371	10000
ICD10-CM	S53.22XD	Traumatic rupture of left radial collateral ligament, subsequent encounter	V5889	S5322XD	10000
ICD10-CM	S98.312A	Complete traumatic amputation of left midfoot, initial encounter	8960	S98312A	10000
ICD10-CM	T38.6X5A	Adverse effect of antigonadotrophins, antiestrogens, antiandrogens, not elsewhere classified, initial encounter	99529	T386X5A	10111
ICD10-CM	C92.32	Myeloid sarcoma, in relapse	20532	C9232	00000
ICD10-CM	Q84.5	Enlarged and hypertrophic nails	7575	Q845	10000
ICD10-CM	C90.22	Extramedullary plasmacytoma in relapse	20382	C9022	10000
ICD10-CM	T45.525D	Adverse effect of antithrombotic drugs, subsequent encounter	V5889	T45525D	10000
ICD10-CM	S52.509B	Unspecified fracture of the lower end of unspecified radius, initial encounter for open fracture type I or II	81352	S52509B	10000
ICD10-CM	S60.112S	Contusion of left thumb with damage to nail, sequela	9063	S60112S	10000
ICD10-CM	S88.012S	Complete traumatic amputation at knee level, left lower leg, sequela	9059	S88012S	10000
ICD10-CM	S62.601P	Fracture of unspecified phalanx of left index finger, subsequent encounter for fracture with malunion	73381	S62601P	10000
ICD10-CM	S02.610S	Fracture of condylar process of mandible, unspecified side, sequela	9050	S02610S	10000
ICD10-CM	M23.021	Cystic meniscus, posterior horn of medial meniscus, right knee	7172	M23021	10000
ICD10-CM	S02.11HA	Other fracture of occiput, left side, initial encounter for closed fracture	80100	S0211HA	10000
ICD10-CM	O10.012	Pre-existing essential hypertension complicating pregnancy, second trimester	64201	O10012	10000
ICD10-CM	S33.4XXA	Traumatic rupture of symphysis pubis, initial encounter	8485	S334XXA	10000
ICD10-CM	S36.30XA	Unspecified injury of stomach, initial encounter	8630	S3630XA	10000
ICD10-CM	S92.514D	Nondisplaced fracture of proximal phalanx of right lesser toe(s), subsequent encounter for fracture with routine healing	V5416	S92514D	10000
ICD10-CM	A42.9	Actinomycosis, unspecified	0399	A429	10000
ICD10-CM	Q85.01	Neurofibromatosis, type 1	23771	Q8501	00000
ICD10-CM	M10.222	Drug-induced gout, left elbow	27401	M10222	10000
ICD10-CM	D10.30	Benign neoplasm of unspecified part of mouth	2104	D1030	10000
ICD10-CM	S91.129A	Laceration with foreign body of unspecified toe(s) without damage to nail, initial encounter	8931	S91129A	10000
ICD10-CM	N39.8	Other specified disorders of urinary system	59989	N398	00000
ICD10-CM	S70.00XS	Contusion of unspecified hip, sequela	9063	S7000XS	10000
ICD10-CM	S62.101K	Fracture of unspecified carpal bone, right wrist, subsequent encounter for fracture with nonunion	73382	S62101K	10000
ICD10-CM	T42.6X4A	Poisoning by other antiepileptic and sedative-hypnotic drugs, undetermined, initial encounter	9663	T426X4A	10111
ICD10-CM	P36.8	Other bacterial sepsis of newborn	77181	P368	10000
ICD10-CM	E83.00	Disorder of copper metabolism, unspecified	2751	E8300	10000
ICD10-CM	S35.8X1A	Laceration of other blood vessels at abdomen, lower back and pelvis level, initial encounter	90281	S358X1A	10000
ICD10-CM	T50.A15A	Adverse effect of pertussis vaccine, including combinations with a pertussis component, initial encounter	E9486	T50A15A	10112
ICD10-CM	M85.839	Other specified disorders of bone density and structure, unspecified forearm	73390	M85839	10000
ICD10-CM	W55.51XD	Bitten by raccoon, subsequent encounter	E9063	W5551XD	10000
ICD10-CM	T42.1X5A	Adverse effect of iminostilbenes, initial encounter	99529	T421X5A	10111
ICD10-CM	M02.89	Other reactive arthropathies, multiple sites	71189	M0289	10000
ICD10-CM	S82.851C	Displaced trimalleolar fracture of right lower leg, initial encounter for open fracture type IIIA, IIIB, or IIIC	8247	S82851C	10000
ICD10-CM	S92.515S	Nondisplaced fracture of proximal phalanx of left lesser toe(s), sequela	9054	S92515S	10000
ICD10-CM	T46.8X5A	Adverse effect of antivaricose drugs, including sclerosing agents, initial encounter	E9427	T468X5A	10112
ICD10-CM	S00.439A	Contusion of unspecified ear, initial encounter	920	S00439A	10000
ICD10-CM	M40.204	Unspecified kyphosis, thoracic region	73710	M40204	10000
ICD10-CM	S43.003S	Unspecified subluxation of unspecified shoulder joint, sequela	9056	S43003S	10000
ICD10-CM	G83.83	Posterior cord syndrome	34489	G8383	10000
ICD10-CM	H05.30	Unspecified deformity of orbit	37640	H0530	00000
ICD10-CM	C41	Malignant neoplasm of bone and articular cartilage of other and unspecified sites	1700	C410	00000
ICD10-CM	F10.181	Alcohol abuse with alcohol-induced sexual dysfunction	29189	F10181	10000
ICD10-CM	D03.8	Melanoma in situ of other sites	1728	D038	10000
ICD10-CM	Y92.020	Kitchen in mobile home as the place of occurrence of the external cause	E8490	Y92020	10000
ICD10-CM	M10.271	Drug-induced gout, right ankle and foot	27401	M10271	10000
ICD10-CM	R19.2	Visible peristalsis	7874	R192	00000
ICD10-CM	G82.20	Paraplegia, unspecified	3441	G8220	10000
ICD10-CM	S62.176G	Nondisplaced fracture of trapezium [larger multangular], unspecified wrist, subsequent encounter for fracture with delayed healing	V5412	S62176G	10000
ICD10-CM	S42.453A	Displaced fracture of lateral condyle of unspecified humerus, initial encounter for closed fracture	81242	S42453A	10000
ICD10-CM	S36.113D	Laceration of liver, unspecified degree, subsequent encounter	V5889	S36113D	10000
ICD10-CM	B00.2	Herpesviral gingivostomatitis and pharyngotonsillitis	0542	B002	00000
ICD10-CM	S43.021A	Posterior subluxation of right humerus, initial encounter	83102	S43021A	10000
ICD10-CM	S21.001D	Unspecified open wound of right breast, subsequent encounter	V5889	S21001D	10000
ICD10-CM	T83.128A	Displacement of other urinary devices and implants, initial encounter	99639	T83128A	10000
ICD10-CM	I69.359	Hemiplegia and hemiparesis following cerebral infarction affecting unspecified side	43820	I69359	10000
ICD10-CM	E83.9	Disorder of mineral metabolism, unspecified	2759	E839	00000
ICD10-CM	S54.22XA	Injury of radial nerve at forearm level, left arm, initial encounter	9553	S5422XA	10000
ICD10-CM	Q72.70	Split foot, unspecified lower limb	75539	Q7270	10000
ICD10-CM	B52.9	Plasmodium malariae malaria without complication	0842	B529	10000
ICD10-CM	F52.1	Sexual aversion disorder	30279	F521	10000
ICD10-CM	M21.951	Unspecified acquired deformity of right thigh	73630	M21951	10000
ICD10-CM	T49.4X5A	Adverse effect of keratolytics, keratoplastics, and other hair treatment drugs and preparations, initial encounter	99529	T494X5A	10111
ICD10-CM	S85.911A	Laceration of unspecified blood vessel at lower leg level, right leg, initial encounter	9048	S85911A	10000
ICD10-CM	S52.501C	Unspecified fracture of the lower end of right radius, initial encounter for open fracture type IIIA, IIIB, or IIIC	81352	S52501C	10000
ICD10-CM	H40.33X1	Glaucoma secondary to eye trauma, bilateral, mild stage	36571	H4033X1	10112
ICD10-CM	E26.01	Conn's syndrome	25512	E2601	00000
ICD10-CM	M12.80	Other specific arthropathies, not elsewhere classified, unspecified site	71680	M1280	10000
ICD10-CM	A46	Erysipelas	035	A46	00000
ICD10-CM	T50.A95A	Adverse effect of other bacterial vaccines, initial encounter	E9488	T50A95A	10112
ICD10-CM	S06.360D	Traumatic hemorrhage of cerebrum, unspecified, without loss of consciousness, subsequent encounter	V5889	S06360D	10000
ICD10-CM	M24.342	Pathological dislocation of left hand, not elsewhere classified	71824	M24342	10000
ICD10-CM	M67.439	Ganglion, unspecified wrist	72741	M67439	10000
ICD10-CM	R85.7	Abnormal histological findings in specimens from digestive organs and abdominal cavity	7929	R857	10000
ICD10-CM	A41.4	Sepsis due to anaerobes	99591	A414	10112
ICD10-CM	S64.22XD	Injury of radial nerve at wrist and hand level of left arm, subsequent encounter	V5889	S6422XD	10000
ICD10-CM	M08.941	Juvenile arthritis, unspecified, right hand	71430	M08941	10000
ICD10-CM	S91.219S	Laceration without foreign body of unspecified toe(s) with damage to nail, sequela	9061	S91219S	10000
ICD10-CM	X58.XXXA	Exposure to other specified factors, initial encounter	E9288	X58XXXA	10000
ICD10-CM	H40.111	Primary open-angle glaucoma, right eye	36570	H401110	10112
ICD10-CM	M19.021	Primary osteoarthritis, right elbow	71512	M19021	10000
ICD10-CM	A18.01	Tuberculosis of spine	72081	A1801	10142
ICD10-CM	T47.0X1A	Poisoning by histamine H2-receptor blockers, accidental (unintentional), initial encounter	E8584	T470X1A	10112
ICD10-CM	D12.4	Benign neoplasm of descending colon	2113	D124	10000
ICD10-CM	S72.22XG	Displaced subtrochanteric fracture of left femur, subsequent encounter for closed fracture with delayed healing	V5415	S7222XG	10000
ICD10-CM	H26.013	Infantile and juvenile cortical, lamellar, or zonular cataract, bilateral	36603	H26013	10000
ICD10-CM	N60.42	Mammary duct ectasia of left breast	6104	N6042	10000
ICD10-CM	Q52.8	Other specified congenital malformations of female genitalia	75249	Q528	10000
ICD10-CM	G43.A	Cyclical vomiting	34620	G43A0	10000
ICD10-CM	S72.451B	Displaced supracondylar fracture without intracondylar extension of lower end of right femur, initial encounter for open fracture type I or II	82133	S72451B	10000
ICD10-CM	S42.033D	Displaced fracture of lateral end of unspecified clavicle, subsequent encounter for fracture with routine healing	V5419	S42033D	10000
ICD10-CM	H60.593	Other noninfective acute otitis externa, bilateral	38022	H60593	10000
ICD10-CM	S39.91XD	Unspecified injury of abdomen, subsequent encounter	V5889	S3991XD	10000
ICD10-CM	S66.303D	Unspecified injury of extensor muscle, fascia and tendon of left middle finger at wrist and hand level, subsequent encounter	V5889	S66303D	10000
ICD10-CM	T43.222D	Poisoning by selective serotonin reuptake inhibitors, intentional self-harm, subsequent encounter	V5889	T43222D	10000
ICD10-CM	S72.92XK	Unspecified fracture of left femur, subsequent encounter for closed fracture with nonunion	73382	S7292XK	10000
ICD10-CM	H93.8X2	Other specified disorders of left ear	3888	H938X2	10000
ICD10-CM	V86.61XA	Passenger of ambulance or fire engine injured in nontraffic accident, initial encounter	E8221	V8661XA	10000
ICD10-CM	M24.273	Disorder of ligament, unspecified ankle	7284	M24273	10000
ICD10-CM	D57.01	Hb-SS disease with acute chest syndrome	5173	D5701	10112
ICD10-CM	B48.4	Penicillosis	1173	B484	10000
ICD10-CM	V02.10XA	Pedestrian on foot injured in collision with two- or three-wheeled motor vehicle in traffic accident, initial encounter	E8147	V0210XA	10000
ICD10-CM	H11.239	Symblepharon, unspecified eye	37263	H11239	10000
ICD10-CM	M99.54	Intervertebral disc stenosis of neural canal of sacral region	72409	M9954	10000
ICD10-CM	S62.307S	Unspecified fracture of fifth metacarpal bone, left hand, sequela	9052	S62307S	10000
ICD10-CM	S72.011K	Unspecified intracapsular fracture of right femur, subsequent encounter for closed fracture with nonunion	73382	S72011K	10000
ICD10-CM	N95.0	Postmenopausal bleeding	6271	N950	00000
ICD10-CM	Z01.82	Encounter for allergy testing	V727	Z0182	10000
ICD10-CM	S63.637A	Sprain of interphalangeal joint of left little finger, initial encounter	84213	S63637A	10000
ICD10-CM	Y92.049	Unspecified place in boarding-house as the place of occurrence of the external cause	E8490	Y92049	10000
ICD10-CM	S63.044D	Dislocation of carpometacarpal joint of right thumb, subsequent encounter	V5889	S63044D	10000
ICD10-CM	P72.8	Other specified transitory neonatal endocrine disorders	77589	P728	10000
ICD10-CM	T85.618A	Breakdown (mechanical) of other specified internal prosthetic devices, implants and grafts, initial encounter	99659	T85618A	10000
ICD10-CM	Y83.4	Other reconstructive surgery as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure	E8784	Y834	00000
ICD10-CM	H74.03	Tympanosclerosis, bilateral	38501	H7403	10000
ICD10-CM	Q45.3	Other congenital malformations of pancreas and pancreatic duct	7517	Q453	10000
ICD10-CM	S01.142A	Puncture wound with foreign body of left eyelid and periocular area, initial encounter	8700	S01142A	10000
ICD10-CM	O23.91	Unspecified genitourinary tract infection in pregnancy, first trimester	64662	O2391	10000
ICD10-CM	S14.101A	Unspecified injury at C1 level of cervical spinal cord, initial encounter	95200	S14101A	10000
ICD10-CM	T56.894S	Toxic effect of other metals, undetermined, sequela	9091	T56894S	10000
ICD10-CM	T21.44XD	Corrosion of unspecified degree of lower back, subsequent encounter	V5889	T2144XD	10000
ICD10-CM	T82.9XXA	Unspecified complication of cardiac and vascular prosthetic device, implant and graft, initial encounter	99672	T829XXA	10000
ICD10-CM	G40.901	Epilepsy, unspecified, not intractable, with status epilepticus	34590	G40901	10000
ICD10-CM	H54.42	Blindness, left eye, normal vision right eye	36905	H5440	10000
ICD10-CM	H35.379	Puckering of macula, unspecified eye	36256	H35379	10000
ICD10-CM	S81.012S	Laceration without foreign body, left knee, sequela	9061	S81012S	10000
ICD10-CM	T21.35XA	Burn of third degree of buttock, initial encounter	94234	T2135XA	10000
ICD10-CM	S32.414A	Nondisplaced fracture of anterior wall of right acetabulum, initial encounter for closed fracture	8080	S32414A	10000
ICD10-CM	T24.032D	Burn of unspecified degree of left lower leg, subsequent encounter	V5889	T24032D	10000
ICD10-CM	H16.422	Pannus (corneal), left eye	37062	H16422	10000
ICD10-CM	M48.08	Spinal stenosis, sacral and sacrococcygeal region	72409	M4808	10000
ICD10-CM	S42.422D	Displaced comminuted supracondylar fracture without intercondylar fracture of left humerus, subsequent encounter for fracture with routine healing	V5411	S42422D	10000
ICD10-CM	H05.029	Osteomyelitis of unspecified orbit	37603	H05029	10000
ICD10-CM	S62.002S	Unspecified fracture of navicular [scaphoid] bone of left wrist, sequela	9052	S62002S	10000
ICD10-CM	L97.514	Non-pressure chronic ulcer of other part of right foot with necrosis of bone	70715	L97514	10000
ICD10-CM	M84.50XD	Pathological fracture in neoplastic disease, unspecified site, subsequent encounter for fracture with routine healing	V5429	M8450XD	10000
ICD10-CM	I70.348	Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of other part of lower leg	70719	I70348	10112
ICD10-CM	S93.112A	Dislocation of interphalangeal joint of left great toe, initial encounter	83806	S93112A	10000
ICD10-CM	N75.1	Abscess of Bartholin's gland	6163	N751	00000
ICD10-CM	N28.0	Ischemia and infarction of kidney	59381	N280	10000
ICD10-CM	M67.912	Unspecified disorder of synovium and tendon, left shoulder	7279	M67912	10000
ICD10-CM	S42.225P	2-part nondisplaced fracture of surgical neck of left humerus, subsequent encounter for fracture with malunion	73381	S42225P	10000
ICD10-CM	K94.20	Gastrostomy complication, unspecified	53640	K9420	00000
ICD10-CM	S30.824D	Blister (nonthermal) of vagina and vulva, subsequent encounter	V5889	S30824D	10000
ICD10-CM	S61.019D	Laceration without foreign body of unspecified thumb without damage to nail, subsequent encounter	V5889	S61019D	10000
ICD10-CM	S32.018S	Other fracture of first lumbar vertebra, sequela	9051	S32018S	10000
ICD10-CM	G60.8	Other hereditary and idiopathic neuropathies	3568	G608	10000
ICD10-CM	B02.31	Zoster conjunctivitis	05329	B0231	10000
ICD10-CM	S72.125D	Nondisplaced fracture of lesser trochanter of left femur, subsequent encounter for closed fracture with routine healing	V5413	S72125D	10000
ICD10-CM	S72.002S	Fracture of unspecified part of neck of left femur, sequela	9053	S72002S	10000
ICD10-CM	S89.82XA	Other specified injuries of left lower leg, initial encounter	9597	S8982XA	10000
ICD10-CM	D61.3	Idiopathic aplastic anemia	28489	D613	10000
ICD10-CM	M87.819	Other osteonecrosis, unspecified shoulder	73349	M87819	10000
ICD10-CM	S82.446A	Nondisplaced spiral fracture of shaft of unspecified fibula, initial encounter for closed fracture	82321	S82446A	10000
ICD10-CM	Y90.3	Blood alcohol level of 60-79 mg/100 ml	NoDx	Y903	11000
ICD10-CM	T15.12XD	Foreign body in conjunctival sac, left eye, subsequent encounter	V5889	T1512XD	10000
ICD10-CM	Y93.E2	Activity, laundry	E0131	Y93E2	00000
ICD10-CM	E46	Unspecified protein-calorie malnutrition	2638	E46	10000
ICD10-CM	O46.8X1	Other antepartum hemorrhage, first trimester	64181	O468X1	10000
ICD10_CA	Y90.8	Blood alcohol level of 240 mg/100 ml or more	NoDx	Y908	11000
ICD10-CM	O99.353	Diseases of the nervous system complicating pregnancy, third trimester	64683	O99353	10000
ICD10-CM	I70.45	Atherosclerosis of autologous vein bypass graft(s) of other extremity with ulceration	7078	I7045	10112
ICD10-CM	S72.401K	Unspecified fracture of lower end of right femur, subsequent encounter for closed fracture with nonunion	73382	S72401K	10000
ICD10-CM	S75.021A	Major laceration of femoral artery, right leg, initial encounter	9041	S75021A	10000
ICD10-CM	L89.104	Pressure ulcer of unspecified part of back, stage 4	70724	L89104	10112
ICD10-CM	S62.395A	Other fracture of fourth metacarpal bone, left hand, initial encounter for closed fracture	81509	S62395A	10000
ICD10-CM	S52.579A	Other intraarticular fracture of lower end of unspecified radius, initial encounter for closed fracture	81342	S52579A	10000
ICD10-CM	M84.473D	Pathological fracture, unspecified ankle, subsequent encounter for fracture with routine healing	V5426	M84473D	10000
ICD10-CM	C79.71	Secondary malignant neoplasm of right adrenal gland	1987	C7971	10000
ICD10-CM	I69.918	Other symptoms and signs involving cognitive functions following unspecified cerebrovascular disease	4380	I69918	10000
ICD10-CM	M87.30	Other secondary osteonecrosis, unspecified bone	73340	M8730	10000
ICD10-CM	K51.4	Inflammatory polyps of colon	5564	K5140	10000
ICD10-CM	M46.80	Other specified inflammatory spondylopathies, site unspecified	72089	M4680	10000
ICD10-CM	M67.932	Unspecified disorder of synovium and tendon, left forearm	7279	M67932	10000
ICD10-CM	T17.598A	Other foreign object in bronchus causing other injury, initial encounter	9341	T17598A	10111
ICD10-CM	R90.81	Abnormal echoencephalogram	79401	R9081	00000
ICD10-CM	T40.2X5A	Adverse effect of other opioids, initial encounter	E9352	T402X5A	10112
ICD10-CM	S76.202S	Unspecified injury of adductor muscle, fascia and tendon of left thigh, sequela	9089	S76202S	10000
ICD10-CM	H66.20	Chronic atticoantral suppurative otitis media, unspecified ear	3822	H6620	10000
ICD10-CM	S56.197D	Other injury of flexor muscle, fascia and tendon of right little finger at forearm level, subsequent encounter	V5889	S56197D	10000
ICD10-CM	M12.841	Other specific arthropathies, not elsewhere classified, right hand	71684	M12841	10000
ICD10-CM	T50.2X1A	Poisoning by carbonic-anhydrase inhibitors, benzothiadiazides and other diuretics, accidental (unintentional), initial encounter	9742	T502X1A	10111
ICD10-CM	E88.4	Mitochondrial metabolism disorders	27787	E8840	10000
ICD10-CM	S00.00XA	Unspecified superficial injury of scalp, initial encounter	9108	S0000XA	10000
ICD10-CM	H91.8X2	Other specified hearing loss, left ear	3898	H918X2	10000
ICD10-CM	G25.0	Essential tremor	3331	G250	10000
ICD10-CM	S62.131A	Displaced fracture of capitate [os magnum] bone, right wrist, initial encounter for closed fracture	81407	S62131A	10000
ICD10-CM	Y93.B9	Activity, other involving muscle strengthening exercises	E0109	Y93B9	00000
ICD10-CM	T45.2X5A	Adverse effect of vitamins, initial encounter	99529	T452X5A	10111
ICD10-CM	N42.9	Disorder of prostate, unspecified	6029	N429	00000
ICD10-CM	M87.350	Other secondary osteonecrosis, pelvis	73343	M87350	10000
ICD10-CM	T21.24XA	Burn of second degree of lower back, initial encounter	94224	T2124XA	10000
ICD10-CM	Y92.811	Bus as the place of occurrence of the external cause	E8498	Y92811	10000
ICD10-CM	I69.361	Other paralytic syndrome following cerebral infarction affecting right dominant side	43851	I69361	10000
ICD10-CM	S83.502S	Sprain of unspecified cruciate ligament of left knee, sequela	9057	S83502S	10000
ICD10-CM	T81.12XS	Postprocedural septic shock, sequela	9093	T8112XS	10000
ICD10-CM	T43.021A	Poisoning by tetracyclic antidepressants, accidental (unintentional), initial encounter	E8540	T43021A	10112
ICD10-CM	T15.90XD	Foreign body on external eye, part unspecified, unspecified eye, subsequent encounter	V5889	T1590XD	10000
ICD10-CM	S62.614B	Displaced fracture of proximal phalanx of right ring finger, initial encounter for open fracture	81611	S62614B	10000
ICD10-CM	M05.53	Rheumatoid polyneuropathy with rheumatoid arthritis of wrist	3571	M05539	10112
ICD10-CM	H69.91	Unspecified Eustachian tube disorder, right ear	3819	H6991	10000
ICD10-CM	E11.618	Type 2 diabetes mellitus with other diabetic arthropathy	71680	E11618	10112
ICD10-CM	Z87.76	Personal history of (corrected) congenital malformations of integument, limbs and musculoskeletal system	V1368	Z8776	00000
ICD10-CM	S72.343A	Displaced spiral fracture of shaft of unspecified femur, initial encounter for closed fracture	82101	S72343A	10000
ICD10-CM	H02.016	Cicatricial entropion of left eye, unspecified eyelid	37404	H02016	10000
ICD10-CM	I82.429	Acute embolism and thrombosis of unspecified iliac vein	45341	I82429	10000
ICD10-CM	M67.451	Ganglion, right hip	72742	M67451	10000
ICD10-CM	D23.39	Other benign neoplasm of skin of other parts of face	2163	D2339	10000
ICD10-CM	T40.991A	Poisoning by other psychodysleptics [hallucinogens], accidental (unintentional), initial encounter	9696	T40991A	10111
ICD10-CM	M06.029	Rheumatoid arthritis without rheumatoid factor, unspecified elbow	7140	M06029	10000
ICD10-CM	H43.822	Vitreomacular adhesion, left eye	37927	H43822	10000
ICD10-CM	H53.459	Other localized visual field defect, unspecified eye	36844	H53459	10000
ICD10-CM	M84.432A	Pathological fracture, left ulna, initial encounter for fracture	73312	M84432A	10000
ICD10-CM	M43.00	Spondylolysis, site unspecified	7384	M4300	10000
ICD10-CM	M14.862	Arthropathies in other specified diseases classified elsewhere, left knee	7138	M14862	10000
ICD10-CM	M1A.0211	Idiopathic chronic gout, right elbow, with tophus (tophi)	27403	M1A0211	10000
ICD10-CM	Y93.41	Activity, dancing	E0050	Y9341	00000
ICD10-CM	T43.591A	Poisoning by other antipsychotics and neuroleptics, accidental (unintentional), initial encounter	9693	T43591A	10111
ICD10-CM	E11.3513	Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema, bilateral	25050	E113513	10111
ICD10-CM	D01.5	Carcinoma in situ of liver, gallbladder and bile ducts	2308	D015	00000
ICD10-CM	H35.81	Retinal edema	36283	H3581	00000
ICD10-CM	C94.82	Other specified leukemias, in relapse	20782	C9482	10000
ICD10-CM	F12.229	Cannabis dependence with intoxication, unspecified	2922	F12229	10111
ICD10-CM	S52.612D	Displaced fracture of left ulna styloid process, subsequent encounter for closed fracture with routine healing	V5412	S52612D	10000
ICD10-CM	H40.52X3	Glaucoma secondary to other eye disorders, left eye, severe stage	36560	H4052X3	10000
ICD10-CM	S02.413A	LeFort III fracture, initial encounter for closed fracture	8024	S02413A	10000
ICD10-CM	S63.271A	Dislocation of unspecified interphalangeal joint of left index finger, initial encounter	83402	S63271A	10000
ICD10-CM	S83.141A	Lateral subluxation of proximal end of tibia, right knee, initial encounter	83654	S83141A	10000
ICD10-CM	K64.8	Other hemorrhoids	4558	K648	10000
ICD10-CM	V13.9XXD	Unspecified pedal cyclist injured in collision with car, pick-up truck or van in traffic accident, subsequent encounter	E8136	V139XXD	10000
ICD10-CM	Z04.71	Encounter for examination and observation following alleged adult physical abuse	V7181	Z0471	10000
ICD10-CM	G47.429	Narcolepsy in conditions classified elsewhere without cataplexy	34710	G47429	00000
ICD10-CM	M25.671	Stiffness of right ankle, not elsewhere classified	71957	M25671	10000
ICD10-CM	M24.051	Loose body in right hip	71815	M24051	10000
ICD10-CM	H65.111	Acute and subacute allergic otitis media (mucoid) (sanguinous) (serous), right ear	38104	H65111	10000
ICD10-CM	S61.559A	Open bite of unspecified wrist, initial encounter	88102	S61559A	10000
ICD10-CM	K86.81	Exocrine pancreatic insufficiency	5778	K8681	10000
ICD10-CM	F60.7	Dependent personality disorder	3016	F607	00000
ICD10-CM	S93.115A	Dislocation of interphalangeal joint of left lesser toe(s), initial encounter	83806	S93115A	10000
ICD10-CM	S82.261G	Displaced segmental fracture of shaft of right tibia, subsequent encounter for closed fracture with delayed healing	V5416	S82261G	10000
ICD10-CM	H47.232	Glaucomatous optic atrophy, left eye	37714	H47232	10000
ICD10-CM	S01.121S	Laceration with foreign body of right eyelid and periocular area, sequela	9060	S01121S	10000
ICD10-CM	C14.8	Malignant neoplasm of overlapping sites of lip, oral cavity and pharynx	1498	C148	10000
ICD10-CM	S76.919D	Strain of unspecified muscles, fascia and tendons at thigh level, unspecified thigh, subsequent encounter	V5889	S76919D	10000
ICD10-CM	S83.015D	Lateral dislocation of left patella, subsequent encounter	V5889	S83015D	10000
ICD10-CM	Z94.9	Transplanted organ and tissue status, unspecified	V429	Z949	10000
ICD10-CM	M46.32	Infection of intervertebral disc (pyogenic), cervical region	73098	M4632	10000
ICD10-CM	S06.342A	Traumatic hemorrhage of right cerebrum with loss of consciousness of 31 minutes to 59 minutes, initial encounter	85302	S06342A	10000
ICD10-CM	M02.821	Other reactive arthropathies, right elbow	71142	M02821	10000
ICD10-CM	R94.118	Abnormal results of other function studies of eye	79419	R94118	10000
